LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
MARECHAL FLORIANO PEIXOTO;PAROLIN;59;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PRADO VELHO;54;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;HAUER;48;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;REBOUÇAS;17;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;CENTRO;17;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;ALTO BOQUEIRÃO;12;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PAROLIN;9;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;CENTRO;8;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PRADO VELHO;7;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;ALTO BOQUEIRÃO;5;VIDA;-25,4601724;-49,2578292
DAVID BODZIAK;CACHOEIRA;25;PATRIMONIO;-25,3535844;-49,2577308
DAVID BODZIAK;CACHOEIRA;9;VIDA;-25,3535844;-49,2577308
LÚCIO DE OLIVEIRA LARA;SÍTIO CERCADO;31;PATRIMONIO;-25,5557626;-49,2577274
JOÃO MACHADO DE CAMARGO;BARREIRINHA;77;PATRIMONIO;-25,3767572;-49,2575666
JOÃO MACHADO DE CAMARGO;BARREIRINHA;7;VIDA;-25,3767572;-49,2575666
BR CENTO E DEZESSEIS;PAROLIN;12;PATRIMONIO;-25,47396123;-49,25755859
GUILHERME NIEVOLA;XAXIM;4;VIDA;-25,5099864;-49,2575401
COLORADO;JARDIM BOTÂNICO;9;PATRIMONIO;-25,4400511;-49,2575255
COLORADO;JARDIM BOTÂNICO;2;VIDA;-25,4400511;-49,2575255
ELZA DE LARA ZANELATTO;XAXIM;19;PATRIMONIO;-25,5099906;-49,2575155
