NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
LUSA- LUZ DO SABER, C E I;RUA CARMELITA CAVASSIN 50;BARREIRINHA;PRIVADO;-25,36470307;-49,26203753
MINHA DOCE INFANCIA, C E I;RUA THEODORO MAKIOLKA 4426;BARREIRINHA;PRIVADO;-25,3652526;-49,2587093
INTERNACIONAL DE CURITIBA, C-EI EF M;AV DR EUGENIO BERTOLLI 3900;SANTA FELICIDADE;PRIVADO;-25,3686422;-49,3261393
MEU AMORE, C E I;RUA PROF LEONARDO COBBE 434;BARREIRINHA;PRIVADO;-25,368724;-49,2648156
PASSO A FRENTE, C E I;RUA PAULO RODRIGUES SIMOES 147;BARREIRINHA;PRIVADO;-25,3723708;-49,2607143
PRINCIPIUS DA VIDA, C E I;RUA ESTRADA SANTA CANDIDA 332;SANTA CANDIDA;PRIVADO;-25,3729606;-49,2183534
BRINCANDO COM LETRAS, C E I;RUA MAXIMO JOAO KOPP 673;SANTA CANDIDA;PRIVADO;-25,3730936;-49,2136453
BABY DISNEY, C E I;RUA JOAO ANTONIO GAVA 64;SANTA CANDIDA;PRIVADO;-25,3735925;-49,2157584
AQUARELA, C E I;AV ANITA GARIBALDI 4374;BARREIRINHA;PRIVADO;-25,3749263;-49,2629616
AMAR NOVOS CAMINHOS, C E I;RUA JOAO MEQUETTI 301;SANTA CANDIDA;PRIVADO;-25,3771166;-49,2386801
ALEGRIA DE APRENDER, C E I;RUA CECILIA MIKOSZ 182;TABOAO;PRIVADO;-25,3773252;-49,2794244
ADVENTISTA SANTA EFIGENIA, E-EI EF;RUA PROF GUILHERME BUTLER 792;BARREIRINHA;PRIVADO;-25,3773909;-49,2554232
LEOCADIO J CORREIA, C E I DR;RUA JOSE ANTONIO LEPROVOST 331;SANTA CANDIDA;PRIVADO;-25,37782818;-49,2305386
CENTRO EDUC PROFIS DR LEOCADIO J CORREIA;RUA JOSE ANTONIO LEPREVOST 331;SANTA CANDIDA;PRIVADO;-25,3778536;-49,2301383
FACULDADE INTERCLASSE LTDA;R. JOSÉ ANTONIO LEPREVOST 331;SANTA CANDIDA;PRIVADO;-25,3778536;-49,2301383
SAO CAMILO, E-EF MOD ED ESP;RUA JOSE SERRATO 619;SANTA CANDIDA;PRIVADO;-25,3782067;-49,2357817
FORREST GUMP, E-EF MOD ED ESP;RUA GENERAL ANOR PINHO 318;BOA VISTA;PRIVADO;-25,3789233;-49,2430657
PAPITOCO, C E I;RUA VICENTE GERONASSO 776;BOA VISTA;PRIVADO;-25,3811201;-49,2504863
PRIMEIRA OPCAO, CEI;RUA MATEUS LEMES 5422;SAO LOURENCO;PRIVADO;-25,38128735;-49,26854405
ADVENTISTA BOA VISTA, C-EI EF M;RUA FERNANDO DE NORONHA 470;BOA VISTA;PRIVADO;-25,3815833;-49,2353162
FACULDADE EXATA EDUCACIONAL EIRELI;R. NOSSA SENHORA DE NAZARÉ 1685;BOA VISTA;PRIVADO;-25,3823801;-49,2389802
SAO JOSE, C VIC-EI EF M;RUA PADRE JOSE JOAQUIM GORAL 182;ABRANCHES;PRIVADO;-25,3828774;-49,27308637
