LATITUDE;LONGITUDE;QUANTIDADE
-25,4858537;-49,3260974;2
-25,4857568;-49,2591534;5
-25,4857521;-49,3457258;34
-25,4853735;-49,1954767;2
-25,4851588;-49,2414671;10
-25,4851446;-49,3530951;20
-25,4846846;-49,2511775;2
-25,4846013;-49,340531;10
-25,484455;-49,3112102;2
-25,4844386;-49,2234377;11
-25,4843887;-49,2662807;4
-25,4843116;-49,3257531;2
-25,4842091;-49,2500019;48
-25,4841504;-49,198473;4
-25,4841135;-49,353193;4
-25,4838465;-49,2860969;12
-25,4837561;-49,1993369;2
-25,4837304;-49,2488183;2
-25,4836845;-49,3221114;5
-25,4836546;-49,3140608;8
-25,4836142;-49,2081474;2
-25,4832078;-49,3392371;3
-25,4830916;-49,3469477;15
-25,4828277;-49,3440264;2
-25,4827378;-49,2463691;9
-25,4826232;-49,3296355;5
-25,4824291;-49,298361;2
-25,4821974;-49,2944168;2
-25,4821921;-49,1981597;2
-25,4819306;-49,1950954;10
-25,481772;-49,3520248;2
-25,4815938;-49,3473671;3
-25,4815835;-49,3527684;39
-25,4814583;-49,3317485;2
-25,481361;-49,3532258;3
-25,480922;-49,3203823;3
-25,4807458;-49,2944756;2
-25,4806922;-49,2766245;2
-25,4805919;-49,2735016;10
-25,4804625;-49,2276138;2
-25,4804536;-49,3069756;3
-25,4803178;-49,2911715;2
-25,480234;-49,3096357;2
-25,4801117;-49,2947746;2
-25,480023;-49,3053088;3
-25,4799415;-49,3465472;5
-25,4798368;-49,3354449;4
-25,4797716;-49,2578423;10
-25,479723;-49,2775735;4
-25,4795486;-49,2213731;4
-25,47945341;-49,3041184;9
-25,4794413;-49,3575018;15
-25,4793546;-49,2801508;2
-25,4789291;-49,3367842;9
-25,4789051;-49,3268232;4
-25,4788074;-49,2555083;5
-25,4784139;-49,3183237;7
-25,4783808;-49,2095325;17
-25,4783074;-49,3397445;3
-25,4780939;-49,320277;6
-25,4780914;-49,29227;4
-25,4779896;-49,3422965;2
-25,4779842;-49,2758824;2
-25,4779472;-49,1940389;7
-25,4779252;-49,2945489;2
-25,477867;-49,3592984;3
-25,4776383;-49,3320074;9
-25,4775729;-49,1948895;9
-25,4775291;-49,3260238;20
-25,4775263;-49,1989514;10
-25,4771669;-49,1958106;12
-25,4770484;-49,3070079;2
-25,47699961;-49,3280821;9
-25,4767907;-49,1966547;2
-25,4764987;-49,2798559;92
-25,4764676;-49,2747285;5
-25,4763768;-49,2918229;3
-25,4763164;-49,3212118;200
-25,4761967;-49,2684666;3
-25,4761521;-49,1987899;4
-25,4759995;-49,2176449;4
-25,4759607;-49,3345918;2
-25,4758312;-49,2583381;4
-25,4756706;-49,3475804;2
-25,4756637;-49,1949781;7
-25,4750949;-49,3405374;2
-25,4749164;-49,2354438;2
-25,474625;-49,2818731;15
-25,474499;-49,3748721;4
-25,4743109;-49,2883171;32
-25,4742302;-49,2898351;4
-25,4740165;-49,191644;47
-25,4738823;-49,1893799;3
-25,4736436;-49,3599949;2
-25,4730691;-49,2350273;2
-25,4729592;-49,2445174;18
-25,4725878;-49,1946093;3
-25,4725427;-49,2943114;497
-25,4723902;-49,1905549;2
-25,4723298;-49,3475399;2
-25,4722113;-49,1901226;2
-25,4720373;-49,3394845;3
-25,4719305;-49,2693044;3
-25,4718046;-49,2688538;4
-25,4716113;-49,3469571;3
-25,4714762;-49,1980521;4
-25,4714294;-49,317116;2
-25,4712923;-49,3185705;5
-25,4708868;-49,2703476;4
-25,4705309;-49,2044573;7
-25,4705199;-49,1971585;2
-25,4697611;-49,3418075;2
-25,4696294;-49,3242726;4
-25,4696241;-49,3427446;2
-25,469121;-49,2749736;6
-25,4688019;-49,2063614;2
-25,4686448;-49,295626;4
-25,4684905;-49,2969257;25
-25,4683419;-49,2066337;49
-25,4682708;-49,2004286;84
-25,468263;-49,1992774;7
-25,4672825;-49,3423003;3
-25,4672274;-49,2059661;3
-25,46716;-49,2727781;2
-25,4669897;-49,2049986;2
-25,4669504;-49,3233996;5
-25,466841;-49,2102579;2
-25,4665454;-49,2117427;4
-25,4664348;-49,2613138;22
-25,4663509;-49,2421052;2
-25,4661948;-49,1942963;3
-25,4660176;-49,201097;2
-25,4659701;-49,2601009;19
-25,4654051;-49,3561807;2
-25,4652827;-49,2584363;4
-25,4652115;-49,2097958;53
-25,4651793;-49,326932;2
-25,4648193;-49,2470621;2
-25,4647707;-49,2196504;3
-25,4647252;-49,2597906;2
-25,4647195;-49,307167;6
-25,4644059;-49,3410682;6
-25,4641413;-49,261043;10
-25,464072;-49,2123482;9
-25,463897;-49,2117813;2
-25,463758;-49,3114586;3
-25,4636397;-49,2626403;7
-25,4635849;-49,2088037;2
-25,4633531;-49,3063645;3
-25,4633346;-49,1957714;2
-25,4632893;-49,2808605;2
-25,4631815;-49,3536459;4
-25,463028;-49,2714733;4
-25,462882;-49,353011;2
-25,4621997;-49,2955737;6
-25,4620581;-49,3324592;5
-25,4620449;-49,2445575;10
-25,4619876;-49,2858443;4
-25,4613534;-49,2940873;6
-25,4612038;-49,3518196;17
-25,4611533;-49,3084717;3
-25,4609386;-49,2966346;6
-25,4608474;-49,2785043;5
-25,4608273;-49,270951;2
-25,46047238;-49,23332657;13
-25,4604711;-49,1967901;7
-25,4604343;-49,3451625;15
-25,4603387;-49,1837191;2
-25,4603065;-49,2000225;2
-25,4602462;-49,2837609;5
-25,4602438;-49,2081035;8
-25,4602118;-49,210593;2
-25,4601724;-49,2578292;612
-25,4600295;-49,3402332;6
-25,460022;-49,3101692;6
-25,4599614;-49,2157649;9
-25,4599325;-49,3062333;2
-25,4598372;-49,350368;4
-25,4597368;-49,2999528;2
-25,4596516;-49,2146327;3
-25,4591286;-49,3248578;2
-25,458847;-49,2270083;2
-25,4586707;-49,340391;2
