Latitude;Longitude;Bairro
-25,44059776;-49,26019739;Rebouças
-25,53247152;-49,26007192;Sítio Cercado
-25,4466343;-49,26006151;Rebouças
-25,43745177;-49,26003352;Rebouças
-25,38605423;-49,25991634;Boa Vista
-25,55525163;-49,25987396;Sítio Cercado
-25,43850953;-49,25984538;Rebouças
-25,43956729;-49,25965723;Rebouças
-25,44190984;-49,25952264;Rebouças
-25,44062505;-49,25946909;Rebouças
-25,51089311;-49,25933645;Xaxim
-25,44168281;-49,25928095;Rebouças
-25,38683636;-49,25924088;Boa Vista
-25,43992833;-49,25919598;Rebouças
-25,44627628;-49,25910366;Rebouças
-25,44274057;-49,2590928;Rebouças
-25,53223276;-49,25908759;Sítio Cercado
-25,55476155;-49,25898345;Sítio Cercado
-25,44379833;-49,25890466;Rebouças
-25,44485609;-49,25871652;Rebouças
-25,3876185;-49,25856543;Boa Vista
-25,44585905;-49,25855872;Rebouças
-25,44154232;-49,25855693;Rebouças
-25,44591386;-49,25852837;Rebouças
-25,44695166;-49,25841458;Prado Velho
-25,51055445;-49,25836279;Xaxim
-25,44804428;-49,25827043;Prado Velho
-25,4392589;-49,25819457;Rebouças
-25,44591827;-49,2581458;Rebouças
-25,44913689;-49,25812629;Prado Velho
-25,53199399;-49,25810327;Sítio Cercado
-25,55427147;-49,25809293;Sítio Cercado
-25,4502295;-49,25798215;Prado Velho
-25,38840063;-49,25788998;Boa Vista
-25,45132212;-49,25783801;Rebouças
-25,45241473;-49,25769386;Prado Velho
-25,44117481;-49,25759123;Rebouças
-25,45350734;-49,25754972;Prado Velho
-25,45459995;-49,25740558;Prado Velho
-25,45459995;-49,25740558;Prado Velho
-25,51021578;-49,25738912;Xaxim
-25,38918276;-49,25721453;Boa Vista
-25,55378139;-49,25720242;Sítio Cercado
-25,43858947;-49,25719316;Bairro Jardim Botânico
-25,44556025;-49,25718794;Rebouças
-25,53175522;-49,25711894;Sítio Cercado
-25,45566775;-49,25705412;Prado Velho
-25,45673555;-49,25670266;Prado Velho
-25,44080729;-49,25662552;Rebouças
-25,3899649;-49,25653908;Boa Vista
-25,50987712;-49,25641545;Xaxim
-25,45780336;-49,2563512;Prado Velho
-25,55329131;-49,2563119;Sítio Cercado
-25,44520224;-49,25623008;Rebouças
-25,43792003;-49,25619175;Bairro Jardim Botânico
-25,53151646;-49,25613461;Alto Boqueirão
-25,45887116;-49,25599974;Prado Velho
-25,39074703;-49,25586363;Boa Vista
-25,44043977;-49,25565981;Bairro Jardim Botânico
-25,45993896;-49,25564828;Prado Velho
-25,50953846;-49,25544178;Xaxim
-25,55280123;-49,25542139;Sítio Cercado
-25,46100676;-49,25529682;Prado Velho
-25,44484422;-49,25527222;Rebouças
-25,4372506;-49,25519034;Bairro Jardim Botânico
-25,39152916;-49,25518818;Boa Vista
-25,53127769;-49,25515029;Alto Boqueirão
-25,46207456;-49,25494536;Prado Velho
-25,44007225;-49,2546941;Bairro Jardim Botânico
-25,46314236;-49,2545939;Prado Velho
-25,55231115;-49,25453087;Sítio Cercado
-25,3923113;-49,25451273;Boa Vista
-25,50919979;-49,25446811;Xaxim
-25,44448621;-49,25431436;Rebouças
-25,46421016;-49,25424244;Prado Velho
-25,43658117;-49,25418893;Bairro Jardim Botânico
-25,53103892;-49,25416596;Alto Boqueirão
-25,46527796;-49,25389098;Prado Velho
-25,39309343;-49,25383728;Boa Vista
-25,43970473;-49,25372839;Bairro Jardim Botânico
-25,55182107;-49,25364036;Sítio Cercado
-25,46634576;-49,25353952;Prado Velho
-25,46815079;-49,25353091;Parolin
-25,50886113;-49,25349444;Alto Boqueirão
-25,44412819;-49,2533565;Rebouças
-25,46741356;-49,25318807;Prado Velho
-25,43591174;-49,25318752;Bairro Jardim Botânico
-25,53080016;-49,25318163;Alto Boqueirão
-25,39387556;-49,25316183;Boa Vista
-25,46906592;-49,2530872;Hauer
-25,43933721;-49,25276268;Bairro Jardim Botânico
-25,55133099;-49,25274984;Sítio Cercado
-25,4394064;-49,25268947;Bairro Jardim Botânico
-25,46998106;-49,25264349;Hauer
-25,50852246;-49,25252077;Alto Boqueirão
-25,3946577;-49,25248638;Boa Vista
-25,44377018;-49,25239865;Rebouças
-25,47089619;-49,25219978;Hauer
-25,53056139;-49,25219731;Alto Boqueirão
-25,44022618;-49,25209871;Bairro Jardim Botânico
-25,55084091;-49,25185933;Sítio Cercado
-25,39543983;-49,25181093;Boa Vista
-25,47181132;-49,25175607;Hauer
-25,5081838;-49,2515471;Boqueirão
-25,44104597;-49,25150795;Bairro Jardim Botânico
-25,44341216;-49,25144079;Bairro Jardim Botânico
-25,53032262;-49,25121298;Alto Boqueirão
-25,39622196;-49,25113548;Boa Vista
-25,55035083;-49,25096881;Sítio Cercado
-25,44186575;-49,25091719;Bairro Jardim Botânico
-25,43215664;-49,25085933;Cristo Rei
-25,50784514;-49,25057343;Boqueirão
-25,44305414;-49,25048293;Bairro Jardim Botânico
-25,3970041;-49,25046003;Boa Vista
-25,44268554;-49,25032643;Bairro Jardim Botânico
-25,45774789;-49,25024202;Prado Velho
-25,53008386;-49,25022865;Alto Boqueirão
-25,54986075;-49,25007829;Sítio Cercado
-25,43239576;-49,24986771;Cristo Rei
-25,39778623;-49,24978458;Boa Vista
-25,45691943;-49,24966469;Prado Velho
-25,50750647;-49,24959977;Alto Boqueirão
-25,4297537;-49,24957187;Alto da Rua XV
-25,52984509;-49,24924433;Alto Boqueirão
-25,42905607;-49,24922855;Alto da Rua XV
-25,54937067;-49,24918778;Sítio Cercado
-25,42878698;-49,24912757;Alto da Rua XV
-25,39856836;-49,24910913;Boa Vista
-25,45609096;-49,24908736;Prado Velho
-25,43263489;-49,24887609;Cristo Rei
-25,42782026;-49,24868327;Alto da Rua XV
-25,50716781;-49,2486261;Boqueirão
-25,4552625;-49,24851003;Prado Velho
-25,3993505;-49,24843368;Boa Vista
-25,54888059;-49,24829726;Sítio Cercado
-25,52960632;-49,24826;Alto Boqueirão
-25,42685354;-49,24823897;Alto da Rua XV
-25,42909289;-49,24820287;Alto da Rua XV
-25,45443403;-49,2479327;Prado Velho
-25,43287401;-49,24788448;Cristo Rei
-25,42588682;-49,24779467;Alto da Rua XV
-25,40013263;-49,24775823;Boa Vista
-25,50682915;-49,24765243;Boqueirão
-25,54839051;-49,24740675;Sítio Cercado
-25,4249201;-49,24735037;Alto da Rua XV
-25,52936756;-49,24727567;Alto Boqueirão
-25,42912971;-49,24717719;Alto da Rua XV
-25,40091476;-49,24708278;Cabral
-25,40091476;-49,24708278;Cabral
-25,42395338;-49,24690607;Alto da Rua XV
-25,43311314;-49,24689286;Cristo Rei
-25,50649048;-49,24667876;Boqueirão
-25,40194849;-49,24666078;Cabral
-25,54790043;-49,24651623;Sítio Cercado
-25,42298666;-49,24646177;Hugo Lange
-25,52912879;-49,24629135;Alto Boqueirão
-25,40298221;-49,24623878;Cabral
-25,42916653;-49,24615152;Alto da Rua XV
-25,42201994;-49,24601747;Hugo Lange
-25,43335226;-49,24590124;Cristo Rei
-25,40401593;-49,24581678;Bacacheri
-25,50615182;-49,24570509;Boqueirão
-25,54741035;-49,24562572;Sítio Cercado
-25,42105322;-49,24557317;Hugo Lange
-25,40504966;-49,24539478;Bacacheri
-25,52889002;-49,24530702;Alto Boqueirão
-25,4200865;-49,24512887;Hugo Lange
-25,42920335;-49,24512584;Alto da Rua XV
-25,40608338;-49,24497278;Cabral
-25,43359139;-49,24490962;Cristo Rei
-25,54692027;-49,2447352;Alto Boqueirão
-25,50581316;-49,24473142;Hauer
-25,41911978;-49,24468457;Hugo Lange
-25,40711711;-49,24455078;Cabral
-25,52865126;-49,2443227;Alto Boqueirão
-25,41815306;-49,24424027;Hugo Lange
-25,40815083;-49,24412878;Cabral
-25,42924016;-49,24410016;Cristo Rei
-25,43383051;-49,243918;Cristo Rei
-25,54643019;-49,24384469;Alto Boqueirão
-25,41718633;-49,24379597;Hugo Lange
-25,50547449;-49,24375775;Boqueirão
-25,40918456;-49,24370678;Cabral
-25,41621961;-49,24335167;Hugo Lange
-25,52841249;-49,24333837;Alto Boqueirão
-25,41021828;-49,24328477;Cabral
-25,42927698;-49,24307449;Cristo Rei
-25,54594011;-49,24295417;Alto Boqueirão
-25,43406964;-49,24292638;Cristo Rei
-25,41525289;-49,24290737;Hugo Lange
-25,45378088;-49,24287708;Jardim das Américas
-25,411252;-49,24286277;Cabral
-25,50513583;-49,24278408;Boqueirão
-25,41428617;-49,24246307;Hugo Lange
-25,41228573;-49,24244077;Cabral
-25,52817372;-49,24235404;Alto Boqueirão
-25,45297264;-49,24219656;Jardim das Américas
-25,54545003;-49,24206365;Alto Boqueirão
-25,4293138;-49,24204881;Cristo Rei
-25,41331945;-49,24201877;Hugo Lange
-25,41331945;-49,24201877;Hugo Lange
-25,43430876;-49,24193477;Cristo Rei
-25,50479717;-49,24181042;Boqueirão
-25,45216439;-49,24151605;Bairro Jardim Botânico
-25,52793496;-49,24136972;Alto Boqueirão
-25,54495995;-49,24117314;Alto Boqueirão
-25,42935062;-49,24102314;Cristo Rei
-25,43454789;-49,24094315;Cristo Rei
-25,5044585;-49,24083675;Boqueirão
-25,45135615;-49,24083553;Bairro Jardim Botânico
-25,52769619;-49,24038539;Alto Boqueirão
-25,4505479;-49,24015502;Bairro Jardim Botânico
-25,42938744;-49,23999746;Tarumã
-25,43478701;-49,23995153;Cristo Rei
-25,50411984;-49,23986308;Boqueirão
-25,44973966;-49,2394745;Bairro Jardim Botânico
-25,52745742;-49,23940106;Alto Boqueirão
-25,42942426;-49,23897178;Tarumã
-25,43502614;-49,23895991;Cristo Rei
-25,50378118;-49,23888941;Boqueirão
-25,44893141;-49,23879399;Bairro Jardim Botânico
-25,52721866;-49,23841674;Alto Boqueirão
-25,44812317;-49,23811348;Bairro Jardim Botânico
